Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 70.0.3538.102,,2018-11-19 16:21:52,2018-11-19 16:22:27,"34,926s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 16:21:52,2018-11-19 16:22:06,"13,226s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:21:53,2018-11-19 16:21:57,"3,942s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:21:57,2018-11-19 16:22:04,"6,936s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:22:04,2018-11-19 16:22:04,"0,353s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:22:04,2018-11-19 16:22:04,"0,110s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:22:04,2018-11-19 16:22:06,"1,236s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 16:22:06,2018-11-19 16:22:14,"8,466s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:22:06,2018-11-19 16:22:08,"2,594s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:22:08,2018-11-19 16:22:13,"4,239s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:22:13,2018-11-19 16:22:13,"0,297s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:22:13,2018-11-19 16:22:13,"0,109s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:22:13,2018-11-19 16:22:14,"1,214s",PASSED
,,,,,,
Test Cases/login,Chrome 70.0.3538.102,,2018-11-19 16:22:14,2018-11-19 16:22:26,"12,097s",PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:22:14,2018-11-19 16:22:17,"2,586s",PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:22:17,2018-11-19 16:22:21,"4,125s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:22:21,2018-11-19 16:22:21,"0,272s",PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:22:21,2018-11-19 16:22:21,"0,136s",PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:22:21,2018-11-19 16:22:26,"4,959s",PASSED
